%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor neg_kge        
1        I1         0.6881199015   1.090187553    3.395581343    0.3091048798   0.5953864639   9.719304767    1.736817486    
2        I1         1.969316018    1.846727143    2.824612651    0.7102397642   0.8255057529   6.59679333     1.233909549    
3        I1         1.857817526    1.794869922    2.615440332    0.8583340564   0.136307493    3.991173488    1.320915594    
4        I1         0.973829551    1.880140909    3.236266154    0.9795582233   0.537096675    4.504271809    2.088137388    
5        I1         1.361125029    1.772829532    2.510864016    0.7782062663   0.7991067335   0.5155318816   1.706828085    
6        I1         0.872472806    1.290716929    4.04804838     0.02456168552  0.6360603293   8.751343945    1.210349906    
7        I1         0.5570628343   2.086270055    3.653744343    0.8847277457   0.5565208168   1.447753494    2.288233519    
8        I1         1.144801891    1.189323103    4.360787384    0.4094759667   0.2999623596   1.28832285     0.8286777252   
9        I1         1.269443469    1.51774427     4.105667461    0.5574533339   0.2877460165   3.411606954    1.356701602    
10       I1         1.112249205    1.96163696     2.725188637    0.3513967573   0.9190928976   1.177112345    1.475680632    
11       I1         0.3237088733   2.61158016     3.63207404     0.78766895     0.9546232434   8.334224322    2.336660716    
12       I1         1.628908169    1.67081122     2.83496418     0.368880236    0.1890601572   8.703049179    0.9397082839   
13       I1         1.359382799    2.660330014    3.805383155    0.1350522446   0.2717204916   8.654259139    0.7961091788   
14       I1         1.326528753    2.629135782    3.537894867    0.5496203686   0.6396143959   8.49266892     1.225461211    
15       I1         0.5744913194   1.475532227    3.771107536    0.1569038732   0.2956648772   4.126543821    0.4499999649   
16       I1         1.751218561    1.963526746    2.972977533    0.4313628953   0.9713532722   7.331916469    1.297434721    
17       I1         1.990996676    1.394356037    3.984371269    0.1603838599   0.813832477    4.934930773    1.069611798    
18       I1         0.9989670997   2.007974284    3.006263884    0.4223373309   0.3027026087   6.043796498    1.254514504    
19       I1         0.4301140715   2.444789642    4.08083248     0.307045893    0.5846141512   0.3973248431   1.141949991    
20       I1         0.8114660747   1.833095461    4.028099965    0.4496035419   0.4105007558   1.593846828    1.49255984     
21       I1         1.771193562    1.901955297    4.440692207    0.9197970148   0.3787398946   4.60317251     1.489689933    
22       I1         1.600285292    2.455724537    2.992332302    0.07083899011  0.9224487796   9.391928479    1.014053537    
