%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__H0_pdm_shallow neg_kge        
1        I1         1.230764125    1.47684756     3.920708269    0.8661838949   0.7468992355   2.596206367    2.878425189    1.865774371    
2        I1         1.841418893    2.013724513    3.653744343    0.9711978667   0.2098740821   8.194513123    1.847829181    1.82745437     
3        I1         0.3540151082   1.783104062    2.520144982    0.08187029442  0.7724180491   4.846555464    1.392631896    1.546427663    
4        I1         1.682335925    2.186006007    3.824234156    0.8532681676   0.1985287257   6.59679333     2.410876968    1.554593224    
5        I1         1.117992494    2.689725624    4.153250314    0.8179985224   0.4484366104   9.496401716    2.123644312    1.912519385    
6        I1         0.519434217    2.578719527    4.43791119     0.9264071911   0.8255057529   6.266903658    1.759161241    2.399360051    
7        I1         0.8563423004   1.290716929    2.681218689    0.3419970723   0.812421547    4.126543821    2.622931498    1.796791697    
8        I1         0.6158441461   2.273852932    4.08083248     0.5112211774   0.05394717492  8.654259139    1.474446234    2.060780356    
9        I1         0.8192857502   1.823230549    2.549313107    0.7262102806   0.6908226698   9.929435802    1.741723812    2.091411299    
10       I1         1.192182611    1.51774427     4.334839097    0.0903694521   0.8604976298   6.409110143    1.73296427     1.701165069    
11       I1         1.266159008    2.51442489     3.732907637    0.2997027545   0.8500911906   9.36699869     2.314827831    1.095064431    
12       I1         1.836356129    2.29651723     3.474362922    0.2626567102   0.7807575394   4.60317251     2.009567014    1.367054163    
13       I1         1.026046435    2.037781874    4.177968403    0.1646286199   0.6631821369   7.407846489    1.037207481    2.122551697    
14       I1         0.5874682381   1.322749343    4.180923743    0.1752551528   0.5185026592   2.025216672    1.101469934    2.000830513    
15       I1         0.8352697815   1.648557062    3.609136604    0.333323562    0.9713532722   9.218734886    1.252182926    2.068936081    
16       I1         0.6401521459   2.208117891    3.898699169    0.1241161824   0.4105007558   0.803349096    1.249022616    1.534599567    
17       I1         0.5369019975   2.288418569    2.605669016    0.05814758281  0.9023741      7.952141837    1.868636931    1.108849466    
18       I1         1.488799289    1.448917371    4.460416691    0.3091048798   0.813832477    5.955674479    2.301125446    1.546477438    
19       I1         1.64120002     1.487467654    4.068233866    0.8970061838   0.9142553178   7.516776562    1.712747488    1.942150339    
20       I1         1.040563043    2.58541142     3.717211402    0.4583877322   0.2317561964   9.849586199    3.128904574    1.108742791    
21       I1         1.23714383     2.106105563    2.797400905    0.7782062663   0.685109752    7.899259404    1.160345849    2.259274839    
22       I1         0.6558687647   1.189323103    3.510254339    0.5852573008   0.3509214385   4.529884387    1.457105575    2.151125834    
23       I1         1.674256652    2.226407977    3.395581343    0.2011009297   0.7659888071   5.08417707     1.636511103    1.707552626    
24       I1         1.79550917     2.161198875    2.782108588    0.01761344909  0.07391524674  4.124835472    2.134421948    0.9830133078   
25       I1         0.7805910733   1.840114       2.815005329    0.7351553244   0.06031807634  5.581352577    2.342573154    1.985155578    
26       I1         1.822802265    1.875005895    3.287586518    0.6478459703   0.3533398499   6.763594913    1.897459978    1.663560107    
27       I1         1.092924469    1.149679854    2.666142613    0.8096779854   0.4780046208   8.415995466    1.982777018    1.983303677    
28       I1         1.381827444    1.605384842    4.360787384    0.4085227492   0.8329797208   7.331916469    1.995923004    1.665840334    
29       I1         0.7579706501   1.116056146    2.934513602    0.6010773471   0.2239289244   7.652579117    2.795801305    1.84916437     
30       I1         1.683075573    1.346035666    2.915172285    0.5699990112   0.842247825    1.957400108    1.237292771    2.226648158    
31       I1         1.420646476    2.204138346    2.581990262    0.8873828238   0.6796230876   2.999869278    2.005978744    1.842475212    
32       I1         0.5420655705   1.328667274    3.735029668    0.4895793974   0.7289337692   5.787673809    1.787865248    2.026194712    
