%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil log__fdd_threshold f_tile_soil    log__tau_tile  neg_kge        
1        I1         0.4552595495   2.488531847    3.63207404     0.368880236    0.9087467498   2.073431759    2.525981301    3.268006597    1.380947417    0.5474120399   0.7928840096   2.100243392    
2        I1         1.815934321    2.680127378    2.767248125    0.06021600091  0.2239289244   6.315550258    3.081848135    1.289431211    2.77372457     0.5700086555   0.5994813317   1.273574947    
3        I1         1.559430362    2.201317947    2.983373812    0.2011009297   0.3045696348   8.703049179    2.782450497    2.442475446    1.871008319    0.4875175287   0.8269384504   1.356944623    
4        I1         1.200518864    1.322749343    2.615440332    0.9711978667   0.6396143959   7.585434032    2.55694486     1.073844788    0.7445761725   0.6958836769   0.6268513181   1.954306696    
5        I1         1.230764125    1.740200609    3.469245654    0.1946010934   0.3700228634   5.581352577    2.314827831    1.204925547    2.101459796    0.8031006839   0.1480251448   1.815083785    
6        I1         1.498235502    1.823230549    2.687332496    0.2887668062   0.2375262317   7.03016898     1.737073229    1.733278122    1.685981404    0.4007129231   0.6624906174   1.835704452    
7        I1         1.3490471      1.607062876    2.782108588    0.1423160262   0.8255057529   5.870925088    2.581542838    2.378034994    2.358554384    0.7060734758   0.1139665621   1.677909112    
8        I1         0.5874682381   2.309147292    3.195114581    0.9575132077   0.3331156004   3.558779445    2.088695206    2.635278735    2.736030743    0.4659386418   0.5176401502   2.358320994    
9        I1         1.069000019    1.299671974    3.075562603    0.3947952275   0.3128979224   5.814931171    3.102060641    1.752707267    0.450421561    0.4225601218   0.2098526713   1.876259819    
10       I1         0.5144262091   1.487285369    4.145470396    0.9534866534   0.7054546704   3.486612735    2.536759611    2.682615667    2.728142416    0.3688631399   0.453957527    2.382736979    
11       I1         1.618362611    2.049813049    3.639907075    0.5394486182   0.1685791455   9.849586199    1.04606843     2.621275583    2.944660868    0.6778167806   0.2310037461   2.31276581     
12       I1         1.151278613    1.496423881    2.804628639    0.7968582963   0.1790726062   5.618450393    3.40027001     1.183673362    2.574276153    0.8226007587   0.865842897    1.873531342    
13       I1         1.479476688    1.780657403    2.520144982    0.2506824008   0.9023741      3.585673627    1.914951077    1.419699664    1.892559692    0.01147116695  1.023350889    1.788803085    
14       I1         1.799934239    2.353332986    3.042674409    0.3205776368   0.4123488404   6.48335404     2.812952815    1.042648812    2.314907372    0.4267718299   0.1179138827   1.45061873     
15       I1         1.542088596    1.290716929    2.83496418     0.4191608878   0.3148766168   2.596206367    3.28839053     1.937153458    0.5020564354   0.8656087244   0.4445559131   1.652175756    
16       I1         0.4479365181   1.637809805    3.362561772    0.4929807404   0.4852475744   0.701920532    2.273167593    1.522777782    1.972957627    0.966286087    0.01245851856  2.270971433    
17       I1         0.9481382881   1.219835666    3.18661111     0.9014394052   0.6631821369   5.955674479    1.392631896    1.789755191    2.995874713    0.8108973565   0.6348316845   2.25078113     
18       I1         1.956310536    2.030189091    4.109591472    0.1350522446   0.5565208168   0.803349096    1.97242533     2.544833167    1.861238947    0.9078352721   0.759568495    1.645671552    
19       I1         0.3107108767   2.161198875    3.992164059    0.8392264346   0.2087928288   3.161734854    2.390442615    1.926072213    0.5531455319   0.01929377591  0.6998106465   2.478869909    
20       I1         1.82491466     2.653075503    2.657896966    0.2089163743   0.9684807231   9.688580275    3.147121145    2.599396139    2.461634426    0.5551116243   0.4114476169   1.098538958    
21       I1         1.636678545    2.372407311    4.292586158    0.05106478175  0.2536875913   5.133200276    1.882513269    3.234941015    0.892350809    0.9312409471   0.773496403    1.648958219    
22       I1         0.39845222     2.007974284    2.741246095    0.8314936832   0.03002443055  6.953071345    3.006983899    1.740149438    2.143950926    0.06630311471  0.2717456883   2.433290274    
23       I1         1.748286095    1.930591487    3.33756519     0.1985720714   0.5611679837   7.310678901    2.982602896    2.812112862    0.5220467322   0.7105906415   0.9798600922   1.324555051    
24       I1         1.488799289    1.239487442    3.938366512    0.0138220575   0.2602711335   9.218734886    2.60466547     2.661461078    1.612409251    0.05114435942  0.3782027568   1.158818238    
25       I1         1.574434238    1.248939516    2.674299496    0.8261550649   0.6746964876   7.187073331    2.749416291    1.645028268    0.2344448061   0.3385667466   0.3947585754   1.703673767    
26       I1         0.3177406747   2.232347639    2.808007965    0.7426416074   0.05784624219  4.563016676    1.182338469    2.463793211    2.662476514    0.6530232415   1.098365116    2.466811591    
27       I1         1.250014581    1.005001595    3.190784844    0.9243459712   0.2156810159   2.891081887    3.160608938    2.024156873    2.279911191    0.5439547205   1.0183374      1.865663696    
28       I1         0.7603459946   2.095049203    3.113606452    0.4342557839   0.2877460165   8.158161341    1.752894144    1.155328901    2.222688617    0.2731888846   1.138915042    2.154215282    
29       I1         0.6957140961   1.580142564    3.306796818    0.8644663599   0.2999623596   6.296109337    2.562418642    2.341144695    2.624843539    0.7750882938   0.3295641665   2.224297427    
