%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k et_scale       neg_kge        
90       I1         1.446126842    3.506979987    4.290803523    0.152770079    0.5611679837   6.440097854    0.4089704549   0.004430687288 1.044798594    0.4433566415   
91       I1         2.231535246    3.038498826    3.836470672    0.7047729654   0.2956648772   5.044471134    0.4321993705   0.141569001    0.8502517654   0.3788863466   
92       I1         1.5563423      2.940992295    4.984071993    0.9125552918   0.4105007558   2.171727156    0.7715029838   0.07066272143  1.401304637    0.9112929776   
93       I1         1.355868765    4.251213937    3.980459772    0.9575132077   0.1250539843   6.827758737    2.2779584      0.1214438644   1.855405351    0.517137129    
94       I1         1.980854117    3.735074175    4.719299654    0.6923296241   0.15576903     7.585434032    1.186216058    0.09201611646  1.352753336    0.944433835    
95       I1         1.214426209    4.068421291    3.717056883    0.4751500174   0.4965381045   7.064042437    1.151288035    0.09488914473  0.8323297563   0.5096501449   
96       I1         1.726046435    3.671081187    4.373791143    0.3961759723   0.8820383405   4.630881637    1.46266037     0.1208402955   1.569855645    0.7404246375   
97       I1         2.259430362    3.059449679    3.841652917    0.08532162429  0.7724180491   1.20806615     1.688368233    0.07753047142  0.6145371287   1.065178529    
98       I1         2.104016156    3.55773209     4.070673926    0.7102397642   0.7594634673   1.276621057    1.240942534    0.1325113058   1.278977386    0.6763850197   
99       I1         1.440934608    4.155648467    4.489426441    0.3745234011   0.05784624219  0.9747690129   2.831746868    0.02291575075  1.894439917    1.02559545     
100      I1         1.136047534    2.805831257    4.018088633    0.9358103204   0.6631821369   2.681876318    2.254110226    0.06963530766  1.227866276    0.3918221489   
101      I1         2.314376697    2.528528489    3.766092763    0.8012678524   0.3380955784   1.544169539    0.7993175579   0.1218032697   0.9883476045   0.4625732667   
102      I1         1.336394339    4.112137624    4.257690755    0.1060554789   0.4874712745   4.410688445    0.02520256267  0.04516243601  1.029669835    0.534677752    
103      I1         1.51928575     2.778420887    3.640499372    0.4984778558   0.5565208168   3.465457878    1.963900448    0.07036596069  1.550729898    0.6199144459   
104      I1         2.484835303    3.361637589    4.673708299    0.9169635703   0.9584592573   3.661604156    0.7512556124   0.1360803958   1.188397311    0.937444416    
105      I1         2.633004722    3.009794435    3.959565825    0.1911231965   0.4200881004   4.310346469    2.668773302    0.1041556329   0.8837920391   0.8617337345   
106      I1         2.174533859    4.24155949     3.605836802    0.8055794563   0.1289259313   0.8712048423   0.5705699155   0.01788190988  1.067407244    0.7071839506   
107      I1         2.164084269    3.825331428    3.743459489    0.6602045533   0.9310201391   3.940408519    2.814000028    0.06275296592  1.450013108    0.8594311193   
108      I1         1.40748976     3.269857454    3.613410887    0.3513967573   0.2087928288   0.275446016    1.672633847    0.1189514087   0.5570757068   0.9509342888   
109      I1         2.207471669    3.696095569    4.953433392    0.7479293057   0.6208331469   6.043796498    2.614111344    0.131653252    1.139786997    0.8678177868   
110      I1         1.817992494    3.421298897    3.680934571    0.3476104215   0.9848527638   3.697353834    2.646035071    0.1304707609   0.9367763218   0.6000330763   
111      I1         1.841522265    4.097849565    3.854733149    0.8944457742   0.2666295428   0.8342739093   1.74120242     0.005664626123 1.538271258    0.7499170726   
112      I1         1.028558637    4.395976659    4.850708376    0.07736213041  0.2877460165   4.286154237    1.611087785    0.1429483698   0.858153585    0.6928457629   
113      I1         2.673053607    4.299857137    3.731005974    0.5353698492   0.9546232434   5.682692331    0.999927641    0.01648820856  1.763674929    1.276112682    
114      I1         2.536356129    2.94971948     3.791413702    0.4476728921   0.1985287257   5.877084206    1.599009314    0.1479835051   1.306204626    0.9753697144   
115      I1         1.221286098    3.091747092    4.988116002    0.02088740981  0.6270359666   3.042521913    2.048008909    0.1484094694   1.665163341    1.07923927     
116      I1         1.566175135    2.761778064    4.619123045    0.7772854328   0.8689908005   0.701920532    2.65208089     0.1157870359   1.864071208    0.8957715678   
117      I1         1.274491319    2.646811393    4.541078206    0.9315443773   0.5429176497   3.558779445    1.076951973    0.08062017272  1.507736411    0.5457084243   
118      I1         2.690996676    2.526087611    4.808364715    0.8162194583   0.7193760053   4.45813412     0.2847513248   0.1458428686   0.9701795317   0.752523418    
119      I1         2.568473146    4.137371732    4.712640556    0.7968582963   0.4242836668   4.727184153    0.9601078918   0.0854061307   1.639955595    1.382327632    
120      I1         1.569678216    3.338107622    4.063307776    0.465210757    0.05394717492  8.370357904    2.154961566    0.03802958748  1.707844583    0.6958586895   
121      I1         2.059382799    3.480112307    4.448286767    0.676848485    0.7659888071   0.5511667692   2.478306973    0.03136666695  0.9996173736   0.4996418189   
122      I1         1.251983061    3.5294187      4.895590538    0.6853682706   0.02603853883  0.3973248431   1.527801111    0.012938783    1.617101241    1.007401527    
123      I1         2.608649771    2.718925771    4.923080038    0.9534866534   0.4852475744   5.656863288    2.333969627    0.08939721633  1.611344308    1.523947587    
124      I1         1.300299416    4.315529596    4.439258158    0.4085227492   0.5280954635   7.952141837    0.208140036    0.08268209967  1.052195593    0.3713837112   
125      I1         1.812249205    2.606103003    4.207326122    0.2887668062   0.622309483    0.241138325    2.792727183    0.05286737815  0.8722880863   0.6678042121   
126      I1         1.073465582    3.281416285    4.871629654    0.5249688643   0.01958054421  1.813236371    1.480537636    0.03576297756  0.5001456431   0.5851992747   
127      I1         1.871461564    3.618028139    4.354930306    0.6578579263   0.4387943063   1.447753494    2.508652819    0.1430553987   0.7610233661   0.369671736    
128      I1         1.531302643    4.291688321    4.470651024    0.4832078674   0.4692989556   4.063302564    1.207174493    0.05136966188  1.640044625    0.6999605089   
129      I1         2.351440729    3.984981332    3.976192295    0.3334357705   0.8887746462   2.891081887    0.9370100619   0.1404543985   1.090260312    0.7376150658   
130      I1         2.188799289    4.426915869    3.763401858    0.2421199327   0.633732568    2.183137175    1.504993468    0.07509980373  0.886523747    0.6861431055   
131      I1         2.073481817    4.19975252     4.059570044    0.02682032949  0.4067010932   7.717283805    2.379123475    0.04349394595  1.886862285    1.26151344     
132      I1         1.776181637    4.281676341    4.601083691    0.2944660222   0.5329572475   8.654259139    2.62893519     0.0189179471   1.057986526    0.6791209148   
133      I1         1.108544849    2.534835404    3.907005807    0.5574533339   0.5312512202   4.956372551    0.1593154956   0.05556433279  1.997937356    0.4581746184   
134      I1         1.860758497    4.309644018    3.568370574    0.7262102806   0.172586491    8.24717916     2.191356051    0.0551313923   1.501341298    0.8965414692   
135      I1         1.674412891    3.278168673    4.557856555    0.3374150785   0.3509214385   9.442576294    1.977756001    0.03789655592  1.247869702    0.681206448    
136      I1         2.365250111    4.268194883    3.652058014    0.9698528934   0.3148766168   1.040583558    2.051924932    0.1348549898   1.127845676    0.8285363862   
137      I1         1.781726666    4.015786552    4.182054792    0.7362907138   0.4707808031   7.516776562    1.577793398    0.04166361281  1.972330434    0.8079585582   
138      I1         1.160359321    2.814107756    4.504594779    0.3240121076   0.9087467498   1.593846828    1.889784482    0.07734629702  1.727714602    0.5751323151   
139      I1         1.762583374    3.913315232    4.79224147     0.07903790755  0.2536875913   2.999869278    0.03178298601  0.05090217145  0.9035865604   0.7007924308   
140      I1         2.227668383    3.659819566    4.823310104    0.1241161824   0.1065470813   2.212150905    1.780800284    0.06516090887  1.548580881    1.505996112    
141      I1         1.892182611    3.829369201    4.432171739    0.4961993767   0.04071712417  4.124835472    0.3113873632   0.07574760212  1.571975463    0.9012793984   
142      I1         2.438002296    2.835703771    4.164323104    0.78766895     0.9142553178   1.458145766    0.9034729727   0.05736759     0.5864306844   0.842341778    
143      I1         1.523985933    3.544451785    4.519375785    0.5112211774   0.2464161253   7.652579117    1.773047415    0.0122955328   1.531862129    0.6819945116   
144      I1         2.128226823    3.76354968     4.30351576     0.3991976672   0.8537564426   9.583711601    2.20444443     0.0658613731   1.327773024    0.8240486365   
145      I1         1.996228928    2.540429602    3.711581441    0.368880236    0.1890601572   9.548449799    1.758918474    0.09610087258  0.6390085479   0.8276288299   
146      I1         2.621550885    2.867785047    4.329993795    0.7909367982   0.3617422335   4.447244152    1.433977594    0.09359025891  1.606932101    1.138897163    
147      I1         1.179220201    2.658902       4.243564122    0.6478459703   0.603556501    9.807148281    0.468435007    0.001495616575 0.5454501959   0.958519724    
148      I1         1.168907969    2.963948278    4.297313474    0.01128075689  0.3331156004   9.435916875    1.361306337    0.09130776417  1.516231905    0.8366201884   
149      I1         2.669316018    3.942832914    4.508984196    0.7218329044   0.1659209448   4.884283603    1.385009744    0.08232010274  1.342990702    1.131318729    
150      I1         1.321814661    2.737313426    4.691908797    0.5699990112   0.3475140804   0.5155318816   2.428998184    0.03492587567  1.429956375    0.6985667791   
151      I1         2.408819711    3.454900871    3.967477215    0.6318941159   0.6156617733   8.584118857    2.013580022    0.009787202042 1.564969149    0.9472244159   
152      I1         2.698319731    3.953829189    4.210760386    0.4393065005   0.7707287291   8.415995466    2.269173725    0.1161062427   0.776572766    0.726458472    
153      I1         2.035763744    4.027521548    3.988401344    0.8532681676   0.191096213    6.216627951    0.6841918299   0.1182956126   0.7390621498   0.3896330526   
154      I1         1.094910471    4.320539252    3.533485608    0.1134234945   0.949165208    1.059934205    2.680592967    0.06907828848  0.9816999326   0.8900526929   
155      I1         1.076284249    2.915427134    3.938568019    0.9569122946   0.9325752491   9.053510048    1.475561403    0.06684404514  1.446279846    0.4415705237   
156      I1         2.557817526    4.349751855    4.549024377    0.5475402506   0.3909964414   0.1747179927   0.2672086657   0.00632673342  1.331345783    1.265947358    
157      I1         2.592783879    3.878690569    4.235789382    0.8179985224   0.04916239375  1.957400108    1.448950676    0.06719876457  1.807015618    1.185667431    
158      I1         1.653795976    3.895301185    4.189859384    0.6558531331   0.4543216541   3.347979457    2.857293454    0.1231832723   1.976028276    0.7888019305   
159      I1         1.173719663    3.960591709    4.087229769    0.5440634302   0.320086903    1.323055332    2.95442912     0.02342939592  1.364732788    0.4140017856   
160      I1         2.382335925    2.676093945    3.736253997    0.333323562    0.5760678983   2.28079469     1.348373174    0.1058008918   1.774418551    1.195653344    
161      I1         1.399648779    2.641480856    4.254639916    0.4583877322   0.3850713039   8.799554718    1.12701118     0.0210907425   0.9946952656   0.3101078017   
162      I1         1.044349805    2.617877276    3.772429689    0.5763089343   0.5132588444   4.126543821    2.998086719    0.02518197987  1.937396742    0.449659156    
163      I1         2.040856682    4.185120593    4.992183092    0.2011009297   0.7282635288   3.91128993     0.1332352735   0.1096532556   0.5730081884   0.8230620294   
164      I1         2.122242053    3.742420556    4.532068558    0.7426416074   0.06335144982  8.861973182    0.4918380509   0.1151165196   0.568981174    0.5776286349   
165      I1         1.278399449    3.998650508    4.386013343    0.7351553244   0.5233939486   1.941395209    1.319112818    0.06383720263  1.100805844    0.3005515813   
166      I1         2.065941496    4.375989962    4.591197194    0.9752273023   0.739563675    6.953071345    1.852109712    0.03091458979  0.7565810475   0.2337153407   
167      I1         1.105703563    3.603153875    4.360553838    0.3091048798   0.6515158266   8.095700615    1.166910396    0.09432899781  1.715249139    0.5721594625   
168      I1         2.0490471      2.980463531    4.313651242    0.06864317479  0.5694610568   4.529884387    1.868333832    0.008543433097 1.273074026    0.7899943827   
169      I1         2.336678545    2.607015022    4.13313467     0.4727462276   0.5109124987   4.846555464    1.211480416    0.04257192093  0.782495218    0.5397987163   
170      I1         2.003370076    3.857509225    4.644001528    0.4223373309   0.7761797963   7.105306752    0.4552364846   0.1223930743   0.8087510477   0.4913853628   
171      I1         1.315844146    3.06099713     3.849085841    0.2053694139   0.9527122088   6.52304944     0.04464897761  0.1125936828   1.479479476    0.5789625862   
172      I1         1.048550442    4.457955617    4.34905553     0.07396129374  0.6889461185   5.371052394    2.576545374    0.1359262448   0.6312596596   1.118092347    
173      I1         2.637686949    3.77796477     4.453330652    0.5950280336   0.653742217    3.302655049    0.3805505836   0.01171401952  0.8035410451   0.4581140558   
174      I1         2.653548078    3.141666179    4.656688424    0.6646589952   0.4967438265   4.019669975    2.756828917    0.06211122234  1.147229223    1.007800901    
175      I1         1.715064302    4.257561411    4.911750047    0.6890713407   0.5927817656   0.5941868708   0.5693354812   0.01420292683  1.984845639    1.331900022    
176      I1         1.966159008    3.633560877    4.929672909    0.1397966434   0.3251547208   9.719304767    0.2547379616   0.08990175059  1.821879412    1.431394667    
177      I1         1.428718011    4.009210003    4.278421151    0.6297198519   0.06784710513  4.504271809    1.332293671    0.04131197187  1.657453686    0.5700021749   
178      I1         1.597171496    2.713150076    4.105097614    0.6421091236   0.6483402606   2.505893795    0.5350325543   0.0405659012   1.623311672    0.5582247396   
179      I1         1.435738841    3.575342183    3.94820331     0.4929807404   0.2375262317   3.090635965    1.136251669    0.02473809058  0.8120143511   0.4379544366   
180      I1         2.49550917     3.20244509     4.155020637    0.7246198575   0.509737054    8.296674237    2.488280796    0.1197957861   1.110213047    0.682625056    
181      I1         1.38476364     3.448328167    4.934792499    0.3637232882   0.1628758786   5.736727176    2.498217762    0.09780723046  1.949201112    1.210276433    
182      I1         1.916061424    2.554657491    3.53698483     0.03599679946  0.4273640679   9.65776003     2.359403291    0.06316804598  1.322253135    1.027683104    
183      I1         2.532347989    3.46101426     3.62460696     0.9014394052   0.03786302582  6.352420219    0.6006704941   0.1244514553   1.514565964    1.221206042    
184      I1         2.615915018    3.888847421    4.79764427     0.8888690782   0.08285317218  3.665753972    2.027227708    0.1307452222   1.81242177     1.541774399    
185      I1         1.374139832    2.758630195    3.645172422    0.9711978667   0.9466801024   1.740474131    2.706239538    0.1134185895   1.106928964    0.5046306305   
186      I1         2.42488636     3.430215775    3.89962961     0.7740396554   0.03575032858  0.3695975357   0.7381165165   0.08857988384  1.158937276    0.7853350225   
187      I1         2.144278275    2.852555263    3.94033855     0.594645732    0.2098740821   4.217818408    2.86679589     0.06005117521  1.628746005    0.9057777292   
188      I1         2.687353195    3.182520664    4.395200035    0.3857637516   0.367962828    3.812652926    0.001945486509 0.02053679275  1.290073215    1.063113845    
189      I1         1.831380639    3.748178647    4.572368501    0.8802523054   0.4931008605   4.675868525    1.358344629    0.1366896919   1.600466187    0.8599455433   
190      I1         2.522802265    3.6313376      3.574449299    0.1822568941   0.8629435835   2.025216672    0.9829655613   0.1010513002   1.868015372    1.501816284    
191      I1         1.712847891    3.720919852    4.724465045    0.9805095429   0.5735897937   7.789316642    0.8428209705   0.1015110234   1.263298118    0.6869293947   
192      I1         1.511466075    3.468506529    4.56279257     0.2137834302   0.812421547    2.534502614    1.80389414     0.1340964609   0.9259969905   0.6558538364   
193      I1         2.300285292    3.728736281    3.528708839    0.9844407052   0.3533398499   2.908796736    2.52247277     0.1468897017   1.742706233    1.419198255    
194      I1         1.185922271    2.58569609     4.760692807    0.3579996258   0.7449829453   5.567548951    2.841698822    0.09689002209  0.8170786377   0.4601764448   
195      I1         1.988003539    3.15712189     4.247393474    0.8608480364   0.5857182627   1.28832285     0.8250106569   0.08782759265  1.836132827    0.9303006983   
196      I1         2.238629173    2.517951387    4.324802023    0.7599331456   0.1479898162   3.411606954    0.529926467    0.09596376834  1.766391866    1.037152648    
197      I1         1.912023774    3.517767781    4.168677946    0.1493129      0.9379771955   6.710055755    0.5066924989   0.1395387753   1.144885951    0.749752074    
