%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_karst et_scale       neg_kge        
13       I1         2.58843912     3.998650508    3.82420574     0.8496504772   0.4967438265   5.08417707     0.4844247353   0.09359025891  2.945099798    1.357263797    0.9533606125   
14       I1         2.024356168    4.185120593    4.46315077     0.9462985109   0.3871736439   1.502057478    2.300469598    0.1366896919   2.511223051    1.452510559    0.8714629402   
15       I1         2.370202853    3.222474213    4.052199615    0.152770079    0.172586491    1.57776624     2.95442912     0.1380583323   2.087481661    1.271945396    1.061322436    
16       I1         1.044349805    3.735074175    3.736253997    0.06244660579  0.3027026087   8.435700196    0.1443488069   0.05286737815  1.719024565    0.5424003376   1.147027528    
17       I1         1.969443469    3.05196134     4.876129323    0.6742736568   0.5611679837   8.13962312     1.12701118     0.10095694     2.616864259    1.404204884    1.002871975    
18       I1         2.608649771    2.662490803    4.808364715    0.7522225039   0.4242836668   7.652579117    0.8059031511   0.1104909885   1.963268352    0.8044819267   0.4017328353   
19       I1         2.662053355    4.092156454    4.394082176    0.02088740981  0.3700228634   7.310678901    2.614111344    0.119433557    5.493714771    1.930094005    1.52188446     
20       I1         1.957981942    4.390829881    4.734102797    0.6010773471   0.1376139005   4.365068302    0.09558385917  0.0799039971   3.183967148    0.6093511097   0.3461727031   
21       I1         2.231535246    3.728736281    4.34905553     0.7102397642   0.6674393617   4.846555464    2.189518444    0.1125936828   4.820796303    0.8197270155   0.3818002097   
22       I1         1.535269781    3.984981332    4.532068558    0.1646286199   0.2999623596   0.7424392947   2.333969627    0.07374720535  5.255693681    1.335721699    0.9279924614   
23       I1         1.293718556    3.677499404    4.838226788    0.2228202545   0.2956648772   1.20806615     1.480537636    0.07305031055  4.673025721    0.8584871559   0.4196713044   
24       I1         1.5563423      3.3880327      4.760692807    0.8012678524   0.6635464248   3.831712223    2.668773302    0.002236963628 3.819222078    1.341078219    0.635473329    
25       I1         1.844801891    3.561123879    4.189859384    0.02682032949  0.4161493205   2.908796736    0.2760762866   0.06144941238  4.504023894    1.213647591    0.759867534    
26       I1         1.495748023    4.17400561     4.624231967    0.507708016    0.7228376675   5.524604038    2.828828885    0.0288998143   3.789894355    1.891388247    0.8210806079   
27       I1         1.944751552    3.147787021    3.586580249    0.8096779854   0.1081480773   0.9222992184   2.756828917    0.1061822672   5.139667035    1.058883545    0.5394472495   
28       I1         2.218732135    2.778420887    4.858524663    0.5748104646   0.1952555708   5.877084206    1.433977594    0.05828600784  1.655741773    0.5959783554   0.4143304909   
29       I1         2.401964074    3.409211214    4.22693424     0.5440634302   0.871363053    6.688892982    0.6641101064   0.1170084979   4.148890761    0.5564166163   0.9721076753   
30       I1         1.45797065     2.684915637    4.552598493    0.4342557839   0.8759965862   6.895136135    0.2847513248   0.1486837938   2.302271959    1.076789002    0.3714922911   
31       I1         1.54149263     3.316462098    4.373791143    0.6923296241   0.5475262182   6.983470842    2.434767911    0.07036596069  4.4745924      1.349255799    0.4703106433   
32       I1         1.6989671      2.58569609     4.207326122    0.4782339761   0.4526974088   2.212150905    2.315866658    0.08939721633  5.777505406    0.718276206    0.5000329387   
33       I1         1.608026369    4.279106544    3.528708839    0.3961759723   0.964709477    9.773474863    1.385009744    0.008001080532 5.0821098      1.649770276    0.8347746833   
34       I1         1.615453797    4.040173285    4.193051593    0.05814758281  0.6720925495   4.286154237    1.717770877    0.0524513719   2.764983045    1.728632358    0.8479675089   
35       I1         1.851278613    3.748178647    3.557321009    0.8888690782   0.4273640679   3.506294406    2.554685489    0.1429483698   1.851667209    0.7946190949   0.1913173905   
36       I1         2.242088596    4.009210003    4.360553838    0.8392264346   0.2375262317   7.256774185    0.1593154956   0.09968766467  3.089009506    0.6819411641   0.4239466592   
37       I1         1.6059263      2.607015022    3.574449299    0.7558619954   0.4780046208   8.24717916     0.5693354812   0.01927393289  4.139645229    1.598117906    0.7994887241   
38       I1         1.905255055    3.970689271    4.923080038    0.9614109575   0.03002443055  6.175578454    1.936736776    0.04656691204  2.121030254    1.767526937    1.239556489    
39       I1         2.345442561    3.921315166    4.844439618    0.7156196559   0.6290082472   6.440097854    1.46266037     0.1078446289   5.228118699    1.329412182    1.123866399    
