%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__H0_pdm_shallow f_tile_soil    log__tau_tile  neg_kge        
1        I1         1.690483718    2.013724513    4.340212492    0.6465402684   0.871363053    1.010521473    1.591318896    0.3185395979   0.8222803618   1.946314415    
2        I1         1.415755904    1.442057733    4.153250314    0.3438077843   0.714725534    8.334224322    3.28839053     0.3301448915   0.07279789321  1.520059127    
3        I1         0.9657950803   1.346035666    2.615440332    0.06244660579  0.2602711335   0.803349096    1.097642455    0.6861985368   1.087097468    1.971213549    
4        I1         1.80468192     2.653075503    3.516151248    0.5006140939   0.7991067335   8.935380853    1.599352301    0.06872718229  1.02783512     1.863036855    
5        I1         1.815934321    2.148702014    3.164319841    0.7156196559   0.3787398946   3.991173488    2.374188924    0.08918881422  0.6245347312   1.382080724    
6        I1         1.583172998    1.623563135    4.207658737    0.04404286758  0.2239289244   5.162715657    3.440100491    0.4867315553   1.017066028    0.6187442355   
7        I1         0.5369019975   1.359935892    2.906036344    0.282446083    0.5788924596   9.199591692    1.741723812    0.4821320496   0.8332434666   1.800386713    
8        I1         0.4552595495   1.840114       2.895061716    0.9795582233   0.9224487796   9.496401716    1.675449878    0.7882614762   0.8292348277   2.481573734    
9        I1         1.962053355    2.470183567    2.657896966    0.5638427568   0.1376139005   2.596206367    2.0700329      0.4903436674   0.5139948552   1.46129161     
10       I1         0.6021373378   2.095049203    3.624777989    0.2729217598   0.8581902132   6.634035164    1.914951077    0.2209878989   0.5499109481   1.530127555    
11       I1         1.931563387    2.422904768    4.028099965    0.8096779854   0.3294683232   6.104156355    3.448515501    0.7066845909   0.0290488263   1.220722731    
12       I1         1.670202853    2.680127378    2.93227432     0.2482968935   0.1952555708   6.763594913    1.576151478    0.4772449404   0.3397771882   1.758480974    
13       I1         0.6729906473   2.512240563    2.528631855    0.05106478175  0.7373991272   7.187073331    2.696259644    0.1719605564   0.4463084077   0.9261818787   
14       I1         1.162721522    2.232347639    3.427281611    0.9378834073   0.9170078746   9.935364316    2.749416291    0.5273663808   1.057645032    1.937805025    
15       I1         1.645442561    1.116056146    3.885662293    0.05397155562  0.4360470655   9.174741589    2.859344672    0.5590733195   0.3029424967   1.270039357    
16       I1         1.811396034    2.29651723     4.135486143    0.9308505921   0.2176088771   6.315550258    2.360791691    0.2942550761   0.6540802414   1.581155934    
17       I1         0.6401521459   1.146068176    3.229890596    0.7782062663   0.807958624    6.409110143    1.403687279    0.5310932993   1.14104342     2.271311345    
18       I1         0.9154537974   1.322749343    4.324691621    0.8873828238   0.8969460614   5.08417707     2.782450497    0.6516873013   0.2221150528   2.090182352    
19       I1         1.092924469    2.436423644    4.469608268    0.6968460319   0.6953665752   9.773474863    2.509368311    0.4799190219   0.7346563518   1.733922687    
20       I1         1.395449208    1.880140909    2.761519739    0.7643935641   0.5056121611   5.787673809    1.297965078    0.7224698667   0.7109932779   2.160821681    
21       I1         0.8352697815   2.309147292    3.778708329    0.5617577824   0.7943040718   3.013930012    1.890272128    0.3949559054   0.9770522677   1.81724888     
22       I1         1.275950592    2.402522684    3.296963637    0.127562032    0.6961344583   9.218734886    2.787656451    0.3073416195   0.7300817498   0.8284653877   
23       I1         1.244751552    1.867335465    3.732907637    0.9105767505   0.6121861275   5.275197541    1.326716649    0.9281332653   0.5275219132   2.197137907    
24       I1         0.7579706501   1.74754868     2.885188013    0.5377850523   0.8014879318   4.934930773    1.313900634    0.3270393023   0.02112917595  2.143159268    
25       I1         0.3131261282   1.368306792    3.349998568    0.4844471541   0.4302886432   5.774861325    2.622931498    0.8538084713   0.2575248035   2.045572826    
26       I1         1.221021649    1.276145037    3.653744343    0.6160442773   0.2576233267   8.449250233    2.728328268    0.3538683822   0.5999523603   1.656114231    
27       I1         0.9870801418   1.975972814    3.805383155    0.5316747404   0.9830281785   2.631645173    2.583368745    0.8814514051   0.3631412861   1.701110639    
28       I1         1.467821931    2.103964652    2.621126085    0.2749906241   0.5031211313   9.082364385    3.423253803    0.1432601651   0.4417702031   1.048291058    
