%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor baseflow_Q     neg_kge        
87       I1         1.82491466     1.563813263    2.767248125    0.2749906241   0.979447786    8.24717916     0.08250106569  0.3625245332   
88       I1         1.69721588     1.919140271    3.674383694    0.1717771929   0.2935083771   2.715362389    0.03920599792  0.4270295823   
89       I1         1.860860465    1.618783662    2.983373812    0.2934147745   0.2536875913   3.558779445    0.1721335498   0.4113116539   
90       I1         1.382954783    1.408394001    3.984371269    0.2729217598   0.714725534    7.21046598     0.2229455257   0.2109240469   
91       I1         0.3285586371   1.57146601     3.831236871    0.2421199327   0.5895334026   0.3973248431   0.2893863476   0.2353825735   
92       I1         1.738002296    2.512240563    3.809025626    0.6421091236   0.172586491    3.372111183    0.2773276552   0.4517961121   
93       I1         1.326528753    1.880140909    4.037871506    0.5496203686   0.4123488404   5.870925088    0.02219254966  0.8202110795   
94       I1         1.085592975    2.619524521    4.064944398    0.6318941159   0.3414620436   6.48335404     0.0001945486509 1.799138273    
95       I1         1.492923017    2.407301197    4.20024087     0.3438077843   0.2087928288   0.3257977483   0.2073993922   0.5107188502   
96       I1         1.564016217    2.499003633    2.57275019     0.1094647061   0.4387943063   0.241138325    0.01443488069  0.3717846802   
97       I1         0.3131261282   1.67081122     3.667595332    0.4984778558   0.1289259313   9.65776003     0.01614935338  1.610193886    
98       I1         1.221021649    1.950323918    3.45754666     0.3203010297   0.739563675    5.939641469    0.2942109655   0.3770814178   
99       I1         1.712625696    2.298393316    3.847275111    0.6396962211   0.9466801024   6.124559585    0.1688368233   0.1742053741   
100      I1         1.052531105    1.502985028    4.012869763    0.5227558373   0.03002443055  9.391928479    0.2478306973   0.2294238462   
101      I1         0.5144262091   2.007974284    4.393020831    0.07736213041  0.3251547208   5.371052394    0.2632297919   0.6516761406   
102      I1         1.315604476    2.126531714    2.674299496    0.465210757    0.356885533    5.308717337    0.2668773302   0.3309429553   
103      I1         1.395449208    2.035421557    3.91705676     0.4342557839   0.5953864639   6.399624598    0.2035511573   0.2436956141   
104      I1         1.931563387    1.794869922    3.771107536    0.7218329044   0.7516442785   3.506294406    0.2728388239   0.3921190777   
105      I1         1.990996676    2.462764673    4.13262006     0.7994510876   0.3355639597   0.1383557627   0.1868333832   0.3118461642   
106      I1         1.740831827    1.802122459    4.328839539    0.4563962076   0.2375262317   0.9747690129   0.2165688921   0.5100006387   
107      I1         1.186805977    2.607205399    2.612978149    0.5394486182   0.4473012554   7.283779674    0.1240942534   0.2148756815   
108      I1         0.4240566145   1.173806576    3.087118066    0.5540566055   0.5031211313   9.121403494    0.1821818187   0.3535077438   
109      I1         1.911398778    1.511267464    3.859167714    0.4313628953   0.3871736439   7.789316642    0.1393814444   0.3925486325   
110      I1         1.444278275    1.850722746    4.353231216    0.100521532    0.4931008605   3.347979457    0.09528779359  0.4028010552   
111      I1         1.618362611    2.590534515    4.095182904    0.2674938073   0.8887746462   2.171727156    0.1758918474   0.3956263811   
112      I1         1.141522265    1.686736869    4.432868669    0.3579996258   0.2751800928   8.095700615    0.03667146442  0.1158239048   
113      I1         1.434442838    1.545416253    4.300944502    0.6578579263   0.2448017307   4.410688445    0.2191356051   0.1645760923   
114      I1         0.9177023502   1.614103081    3.639907075    0.4782339761   0.8014879318   3.661604156    0.08059031511  0.6156415612   
115      I1         1.651440729    1.720055247    3.113606452    0.8583340564   0.9584592573   6.548255037    0.001710555688 1.645966586    
116      I1         0.3177406747   2.547458364    4.237773043    0.5665403297   0.2576233267   2.571069128    0.1632950029   0.4432394424   
117      I1         0.7409346075   2.381482366    4.397440051    0.4631838113   0.4967438265   1.593846828    0.1269511844   0.3437324273   
