Date,Precipitation [mm/day],Discharge [m^3/s],Mean Temperature [C],Minimum Temperature [C],Maximum Temperature [C],Photoperiod [hr],Evapotranspiration [mm/day]
1991.10.01,0.0121799975744,7.1641504,12.806485152490001,5.24673266458,20.3662376404,11.78582054060061,1.30404460896
1991.10.02,0.0,7.5322688,16.509009864095,9.11861384269,23.8994058855,11.73570685553616,1.62485122754
1991.10.03,0.0,9.2879104,12.412772274265,3.54000001143,21.2855445371,11.685626183018774,1.48195142111
1991.10.04,0.115518041315,7.6172192,7.7000495063850005,1.80237624167,13.5977227711,11.635584689386926,1.18847359114
1991.10.05,0.898234213758,9.0047424,6.31336633907,1.32712871544,11.2996039627,11.58558869571794,1.53709305597
1991.10.06,3.60344523546,9.8825632,3.5718811930500003,0.50603960117,6.63772278493,11.535644692410694,1.11547910383
1991.10.07,0.0110245200224,8.8065248,4.122079191805,-2.90306931439,11.147227698,11.485759353815661,0.739116525453
1991.10.08,0.0062835252853,8.6083072,11.310544528714999,2.26346534343,20.357623714,11.4359395529027,1.24659075368
1991.10.09,0.0,13.2805792,13.408019782310001,3.05465346752,23.7613860971,11.386192375955044,1.48704675704
1991.10.10,0.0,9.769296,8.461881245086,0.170396038672,16.7533664515,11.336525137276134,1.01098925047
1991.10.11,0.00717176447189,11.7797888,11.083217778115,3.72693068733,18.4395048689,11.286945393893646,1.09254840641
1991.10.12,0.0,9.3728608,10.63599007769,1.08326732718,20.1887128282,11.237460960242863,1.21770113739
1991.10.13,0.138582513031,9.2312768,8.15960393993,2.60920791726,13.7099999626,11.18807992280896,0.844650237173
1991.10.14,0.341872927668,9.8825632,9.04336633189,4.10603960198,13.9806930618,11.138810654705132,0.881849067303
1991.10.15,0.0303870863051,11.0718688,1.644455441155,-3.80158415643,7.09049503874,11.089661830160681,0.319431684585
1991.10.16,0.0,9.1180096,8.435198004278,-0.109405943644,16.9798019522,11.040642438890055,0.816835403438
1991.10.17,0.0,9.769296,17.473762436690002,9.22762379788,25.7199010755,10.99176180031072,1.40442385321
1991.10.18,0.0529292796619,13.45048,11.495495084695,2.62900989169,20.3619802777,10.943029577574306,1.22086795286
1991.10.19,0.0533534842405,10.3922656,0.32544554578000007,-5.93633664481,6.58722773637,10.894455791371975,0.277981421644
1991.10.20,0.0,10.788700799999999,4.2161881292,-3.1373267398,11.5697029982,10.84605083347117,0.515677318978
1991.10.21,0.0,10.3073152,9.519504986174999,2.76633662985,16.2726733425,10.797825479937169,0.743500358411
1991.10.22,0.0,10.3922656,13.787772273085,6.84138615297,20.7341583932,10.749790903988755,1.00050361875
1991.10.23,0.199646549548,11.1285024,14.22688122431,5.23316830692,23.2205941417,10.701958688433306,2.29120425414
1991.10.24,12.6795578192,12.6859264,10.522425738885001,4.94732673097,16.0975247468,10.65434083762229,2.24952345719
1991.10.25,0.440832412175,14.0451328,2.864851488475,-1.08831682862,6.81801980557,10.60694978886394,0.660811579304
1991.10.26,1.27930450528,11.2984032,4.10707919509,1.0067326731,7.20742571708,10.559798423225468,0.526985487785
1991.10.27,0.104544856392,9.3728608,6.435445548284999,4.49613862227,8.3747524743,10.512900075652821,0.698022915837
1991.10.28,2.23608903875,10.8736512,8.464405968645,6.40940594909,10.5194059882,10.46626854433159,1.46622716118
1991.10.29,8.29913372392,12.232857599999999,9.500693040016499,0.892772282133,18.1086137979,10.419918099208381,1.8734694247
1991.10.30,0.0381819050169,9.0047424,-2.122623760565,-6.0321782131,1.78693069197,10.373863489587675,0.569815578359
1991.10.31,3.27863190935,12.3461248,-3.1501980300000003,-4.97485150677,-1.32554455323,10.328119950715156,0.505834609237
1991.11.01,40.8042128157,16.3104768,-2.0287128682305,-3.40594058934,-0.651485147121,10.282703209254512,2.52955898944
1991.11.02,6.79403697618,10.7037504,-6.9950989954,-11.8064356228,-2.183762368,10.23762948756116,3.35056847414
1991.11.03,1.53921168382,10.335632,-11.261089155005,-12.8246535311,-9.69752477891,10.19291550665283,1.06666133544
1991.11.04,0.0,13.3655296,-15.28658421205,-20.7325743307,-9.8405940934,10.148578487774257,0.000767347346568
1991.11.05,1.34594975412,19.1421568,-10.244108883465001,-16.3618811428,-4.12633662413,10.10463615245043,0.0427110908797
1991.11.06,1.67144444037,15.545923199999999,-8.57504952664,-14.5341584612,-2.61594059208,10.061106720921167,1.5952260381
