%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor neg_kge        
1        I1         1.492923017    2.419043855    0.09540675286  9.124406446    1.038204937    
2        I1         0.9154537974   2.660330014    0.7147995907   1.507344602    1.828706449    
3        I1         0.9744128914   2.470183567    0.8615087911   1.81257532     1.975514859    
4        I1         1.559430362    2.148702014    0.2530511585   1.929713924    1.180212295    
5        I1         0.5744913194   1.914040856    0.9286045323   7.634728321    2.311535101    
6        I1         1.420646476    2.27527896     0.545684043    4.830118738    1.415582886    
7        I1         1.296228928    2.629135782    0.1381446722   0.8260366477   0.939859761    
8        I1         0.7409346075   1.654378836    0.2724680051   5.302236487    1.71742546     
9        I1         0.973829551    1.919140271    0.1129324671   0.7145979613   1.445579696    
10       I1         1.250014581    1.157178291    0.08736951318  3.947583228    1.810914859    
11       I1         1.340856682    1.794869922    0.2976878525   8.524852709    1.547917561    
12       I1         1.012847891    1.802122459    0.3106671615   1.619183891    1.597812943    
13       I1         0.787877155    2.436423644    0.1282105867   0.4439024378   1.02082681     
14       I1         0.6957140961   2.262234132    0.9117041212   9.105357257    2.224506042    
15       I1         1.192182611    1.637809805    0.7574143314   0.7974237599   1.83916278     
16       I1         0.869678216    2.61158016     0.2229116651   5.596082035    1.021388341    
17       I1         1.382954783    1.763486224    0.5998100814   8.435953095    1.645108286    
18       I1         1.80468192     2.204138346    0.2134344194   9.402470267    1.128089771    
19       I1         0.7603459946   2.590534515    0.1592680332   0.9466208609   0.9698930419   
20       I1         1.186805977    1.322749343    0.2920256757   3.234673667    1.781628181    
21       I1         1.574434238    2.007974284    0.7347131634   3.237467964    1.547042345    
22       I1         1.507471669    1.437335597    0.8293473716   8.788631933    1.723147607    
23       I1         1.335763744    2.572289077    0.959576483    3.806226184    1.82879249     
24       I1         0.408544849    1.767639995    0.4518221431   2.444885035    1.886035608    
25       I1         0.4792202012   1.643923416    0.3484845734   7.206321713    1.830736182    
26       I1         1.931563387    1.987294004    0.5243620839   8.244461875    1.230115488    
27       I1         0.8192857502   1.950323918    0.226241653    6.382399742    1.519530692    
28       I1         1.144801891    2.673454282    0.8647982802   7.860451058    1.864836488    
29       I1         1.636678545    1.236657754    0.641496781    4.001165434    1.633231424    
30       I1         0.5420655705   1.664203842    0.4627937077   9.850765605    1.899546346    
31       I1         1.474533859    1.963526746    0.3028261628   9.508499215    1.399174791    
32       I1         1.026046435    1.400965242    0.7768227551   0.2099850582   2.002280982    
33       I1         1.269443469    2.288418569    0.9486400733   1.887791865    1.870814563    
34       I1         0.9931211435   1.254938783    0.8757972593   9.473516053    2.039481207    
35       I1         1.860860465    1.926213285    0.02875644145  6.071087486    1.2721188      
36       I1         1.160758497    1.806078942    0.7479797478   4.678081359    1.812852483    
37       I1         1.266159008    1.607062876    0.3828402982   6.624434712    1.668748222    
38       I1         1.015064302    1.276145037    0.346439444    8.978371301    1.865576062    
39       I1         0.3237088733   1.149679854    0.8843081683   4.233359989    2.434202726    
40       I1         0.3830346702   1.648557062    0.7211783123   3.725422793    2.220356492    
41       I1         1.518732135    2.402522684    0.892462806    2.701212951    1.645474551    
42       I1         0.7675012623   1.283147972    0.7712621563   0.5148381013   2.135499276    
43       I1         1.479476688    1.846727143    0.6151645374   8.669905264    1.58929277     
44       I1         0.3540151082   1.124789684    0.5079141114   6.960006401    2.171685447    
45       I1         1.303370076    1.892177349    0.375585762    4.300063791    1.527359014    
46       I1         0.7579706501   1.90839714     0.4302310682   0.3991321436   1.696761345    
47       I1         0.872472806    1.328667274    0.8386562516   9.357582849    2.088580792    
48       I1         1.452181115    2.161198875    0.758768983    0.2471027414   1.599863016    
49       I1         0.6677877611   1.675837711    0.5534769359   5.43170614     1.915631552    
50       I1         0.3677524232   1.290716929    0.1775178019   3.870790833    1.912679043    
51       I1         1.892783879    2.407301197    0.6441586688   0.5863888467   1.139250174    
52       I1         1.182398971    1.266991593    0.7513061837   4.698557647    1.888943388    
53       I1         0.6263816946   2.353332986    0.988718817    8.093420141    2.332111055    
54       I1         1.948251375    1.346035666    0.3915069734   2.197027371    1.393685087    
55       I1         0.6729906473   2.372407311    0.6141247422   2.109461332    1.846852426    
56       I1         1.64120002     2.559012186    0.4040675495   9.796473107    1.033974536    
57       I1         0.5144262091   1.985846631    0.6701648046   6.222284026    2.064756533    
58       I1         0.3949104709   1.353113064    0.420406943    4.197736747    2.006846683    
59       I1         1.979905971    2.594591468    0.03187726387  9.558525774    1.061986553    
60       I1         0.7999073836   1.975972814    0.07309836296  6.17371461     1.396352263    
61       I1         1.841418893    1.487467654    0.9090711576   3.653321701    1.514646156    
62       I1         1.738002296    2.680127378    0.5611412147   5.197905472    1.069234644    
63       I1         0.7357388406   1.231727704    0.8684441726   7.437018435    2.189450351    
64       I1         1.589566797    1.522818988    0.6759921798   0.6298177523   1.622928437    
65       I1         0.6501714999   1.120258727    0.5696627217   1.879921363    2.11044407     
66       I1         1.361125029    2.221495105    0.7229155004   3.472139862    1.593202366    
67       I1         1.542088596    1.705854979    0.415143026    5.085836127    1.554262689    
68       I1         0.6363943388   1.502985028    0.6663352558   5.89654224     2.06761517     
69       I1         0.9989670997   2.653075503    0.06656576261  5.943912963    0.929503028    
70       I1         1.990996676    1.299671974    0.8905910108   7.335185488    1.371417214    
71       I1         0.4737196634   1.213851171    0.7293746783   0.7461396      2.248882752    
72       I1         1.101323509    2.024418459    0.405330441    7.071226522    1.531761666    
73       I1         0.8971714963   1.880140909    0.1212022547   5.820875969    1.50342175     
74       I1         1.3490471      2.208117891    0.6953625928   2.279544782    1.576170809    
75       I1         0.8936899455   2.413440626    0.9271647848   2.249918897    2.106001954    
76       I1         1.850647614    1.941346502    0.4468695913   8.89132431     1.279109812    
77       I1         1.389904313    2.273852932    0.9517507719   2.233874507    1.789908725    
78       I1         0.600299416    1.201716412    0.04564759294  0.7804949908   1.944288617    
79       I1         0.8563423004   1.310918435    0.1339379517   7.017982584    1.840284306    
80       I1         0.9314794921   1.702042258    0.7373419219   7.956043475    1.939867895    
81       I1         1.212023774    2.254104281    0.518568485    5.127866693    1.478096296    
82       I1         1.775966423    1.219835666    0.5685544666   1.769414299    1.553107457    
83       I1         1.092924469    2.619524521    0.1690601992   8.075067109    0.9410107614   
84       I1         1.275950592    1.015258679    0.09879715739  4.190495188    1.837253129    
85       I1         1.221021649    1.867335465    0.4367642042   4.73291236     1.580515529    
86       I1         1.359382799    1.303784423    0.9061313741   2.507284945    1.832575948    
87       I1         1.701964074    1.442057733    0.3676463919   5.219617476    1.564065972    
88       I1         0.8239859326   2.298393316    0.2846092456   5.673879639    1.344533082    
89       I1         1.51752088     1.285348205    0.9473977662   8.178379648    1.742410047    
90       I1         0.3177406747   2.106105563    0.680704075    8.582183393    2.19058458     
91       I1         1.031569625    2.644110444    0.2332132392   6.151271188    0.9838644079   
92       I1         1.538629173    2.447268904    0.6692030079   5.495130571    1.401733528    
93       I1         1.310439953    2.000874494    0.6901710945   1.601523929    1.649360333    
94       I1         1.758476031    1.840114       0.4236479843   8.695301592    1.390819996    
95       I1         0.3902345162   1.005001595    0.870526132    2.119467852    2.39657902     
96       I1         1.783188645    2.013724513    0.4092313068   4.356625167    1.257737885    
97       I1         1.062583374    2.493927199    0.200390285    0.860902123    1.015004546    
98       I1         0.6741398318   2.153882841    0.6976976822   4.031690719    1.975701487    
99       I1         1.171461564    2.191445607    0.1263474312   3.026589051    1.161422361    
100      I1         0.8789505393   1.197083982    0.5821217126   7.818359784    1.990013696    
101      I1         1.836356129    2.215010462    0.07914671067  6.992921713    1.141418197    
102      I1         0.3107108767   1.684763754    0.7887137476   6.668392936    2.329182387    
103      I1         1.751218561    1.022174469    0.7685437061   9.810060082    1.589645596    
104      I1         0.9537959759   1.116056146    0.1987421265   9.665746649    1.919064768    
105      I1         1.822802265    2.267059179    0.3373714494   8.284955499    1.107169971    
106      I1         1.225710618    1.576814556    0.6889745238   2.756046349    1.796753091    
107      I1         1.618362611    1.816862121    0.8413093938   7.720914576    1.612423252    
108      I1         1.69721588     2.180520308    0.8265532606   0.4668629691   1.511465277    
109      I1         1.876269462    1.545416253    0.1820892142   3.782430276    1.420270781    
110      I1         0.8884118105   1.090962769    0.6588747364   2.630568476    2.042655109    
111      I1         0.6098356177   2.06095185     0.1838472716   8.484580848    1.449513118    
112      I1         0.866175135    1.74754868     0.4849303703   8.21236354     1.788419111    
113      I1         0.9870801418   1.855932989    0.3506061447   2.531383436    1.596753783    
114      I1         1.557081237    1.359935892    0.2100086081   4.404323695    1.639114935    
115      I1         0.5625116465   1.469167139    0.6496377459   2.7769461      2.097163892    
116      I1         0.5212860984   2.664262274    0.3424440375   1.66206463     1.359457847    
117      I1         0.4301140715   2.037781874    0.5206531373   6.009977074    1.8956273      
118      I1         0.8066862593   1.542045094    0.4643679895   9.943839777    1.865330993    
119      I1         1.987353195    2.529878567    0.3553098455   6.083045783    0.9972049213   
120      I1         1.13489634     2.58541142     0.09140988043  2.973687367    0.955194977    
121      I1         0.4360475337   2.50296565     0.3617229176   4.265448546    1.51505632     
122      I1         1.085592975    1.371707752    0.4810012562   7.501175422    1.840764409    
123      I1         1.131380639    1.138117183    0.2826624194   7.13699363     1.864307804    
124      I1         1.301021493    1.43332527     0.7967770558   1.296819446    1.827662161    
125      I1         0.937441218    1.580142564    0.3318330314   5.011605948    1.740517509    
126      I1         1.564016217    1.41831238     0.5522626128   5.279880397    1.639474379    
127      I1         1.722002096    2.035421557    0.7043578125   9.197663091    1.45679197     
128      I1         1.868473146    1.720055247    0.2668311274   1.104796521    1.342994152    
129      I1         0.4976089969   2.232347639    0.09433955728  4.798964461    1.170696088    
130      I1         0.719191177    2.049813049    0.2218144169   3.167342921    1.454850181    
