%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_soil et_scale       neg_kge        
1        I1         2.511396034    2.94971948     4.557856555    0.5638427568   0.2025505396   8.415995466    2.576545374    0.05175294729  2.998852121    1.463296338    1.155550677    
2        I1         1.143318514    3.568702518    3.678082803    0.7502022129   0.6802152624   6.850141074    2.359403291    0.1491522456   4.614813773    1.751213004    0.6690266406   
3        I1         1.726046435    2.963948278    4.493175617    0.8399888113   0.4067010932   3.585673627    0.3349721691   0.02570949011  3.758485195    1.991861014    0.9486429631   
4        I1         1.93714383     3.278168673    3.911383996    0.3703465277   0.5927817656   6.903781316    2.680592967    0.00740257091  4.982916725    1.677357849    0.7312778843   
5        I1         1.24206557     3.78829318     3.885985635    0.5167904168   0.9883526835   2.505893795    2.292399425    0.1406262523   5.916991303    0.9343039805   0.4422798869   
6        I1         2.383075573    2.792870019    4.56279257     0.7994510876   0.8469582789   9.719304767    2.328605118    0.1066886063   3.173959579    1.088071352    0.6004110044   
7        I1         2.464753117    3.059449679    4.380787771    0.5279734897   0.15576903     9.496401716    2.122740425    0.1325113058   4.595586387    0.9593195816   0.4741259863   
8        I1         1.648138288    3.929424073    4.704250596    0.4686115266   0.07391524674  2.777260348    0.01710555688  0.02291575075  4.366813154    0.635951224    0.4867950448   
9        I1         1.262511647    3.620247636    4.965629526    0.9575132077   0.9142553178   9.301918015    0.05528211635  0.06907828848  4.20391391     1.614108249    1.162022336    
10       I1         1.499907384    3.014512467    3.680934571    0.1911231965   0.805928482    1.989780196    2.461026005    0.06963530766  3.360080636    0.7759367302   0.7311876579   
11       I1         2.015604476    3.25755696     4.676175399    0.1397966434   0.1065470813   1.845591962    0.7381165165   0.1390121954   3.943377483    0.8121684823   0.6266292687   
12       I1         2.179476688    4.257561411    3.830982122    0.4751500174   0.5329572475   7.427576021    1.977756001    0.08046868171  1.893778979    1.681960738    1.004976466    
13       I1         2.58843912     3.998650508    3.82420574     0.8496504772   0.4967438265   5.08417707     0.4844247353   0.09359025891  2.945099798    1.357263797    0.8847801983   
14       I1         2.024356168    4.185120593    4.46315077     0.9462985109   0.3871736439   1.502057478    2.300469598    0.1366896919   2.511223051    1.452510559    0.862950521    
15       I1         2.370202853    3.222474213    4.052199615    0.152770079    0.172586491    1.57776624     2.95442912     0.1380583323   2.087481661    1.271945396    1.068431215    
16       I1         1.044349805    3.735074175    3.736253997    0.06244660579  0.3027026087   8.435700196    0.1443488069   0.05286737815  1.719024565    0.5424003376   1.181476965    
17       I1         1.969443469    3.05196134     4.876129323    0.6742736568   0.5611679837   8.13962312     1.12701118     0.10095694     2.616864259    1.404204884    1.000536683    
18       I1         2.608649771    2.662490803    4.808364715    0.7522225039   0.4242836668   7.652579117    0.8059031511   0.1104909885   1.963268352    0.8044819267   0.4494736839   
19       I1         2.662053355    4.092156454    4.394082176    0.02088740981  0.3700228634   7.310678901    2.614111344    0.119433557    5.493714771    1.930094005    1.3958499      
20       I1         1.957981942    4.390829881    4.734102797    0.6010773471   0.1376139005   4.365068302    0.09558385917  0.0799039971   3.183967148    0.6093511097   0.3097296153   
21       I1         2.231535246    3.728736281    4.34905553     0.7102397642   0.6674393617   4.846555464    2.189518444    0.1125936828   4.820796303    0.8197270155   0.275691503    
22       I1         1.535269781    3.984981332    4.532068558    0.1646286199   0.2999623596   0.7424392947   2.333969627    0.07374720535  5.255693681    1.335721699    0.983149951    
23       I1         1.293718556    3.677499404    4.838226788    0.2228202545   0.2956648772   1.20806615     1.480537636    0.07305031055  4.673025721    0.8584871559   0.5761167809   
24       I1         1.5563423      3.3880327      4.760692807    0.8012678524   0.6635464248   3.831712223    2.668773302    0.002236963628 3.819222078    1.341078219    0.7777874783   
25       I1         1.844801891    3.561123879    4.189859384    0.02682032949  0.4161493205   2.908796736    0.2760762866   0.06144941238  4.504023894    1.213647591    0.6803829436   
26       I1         1.495748023    4.17400561     4.624231967    0.507708016    0.7228376675   5.524604038    2.828828885    0.0288998143   3.789894355    1.891388247    0.8771802954   
27       I1         1.944751552    3.147787021    3.586580249    0.8096779854   0.1081480773   0.9222992184   2.756828917    0.1061822672   5.139667035    1.058883545    0.6482086993   
28       I1         2.218732135    2.778420887    4.858524663    0.5748104646   0.1952555708   5.877084206    1.433977594    0.05828600784  1.655741773    0.5959783554   0.5794770541   
29       I1         2.401964074    3.409211214    4.22693424     0.5440634302   0.871363053    6.688892982    0.6641101064   0.1170084979   4.148890761    0.5564166163   0.8809215025   
30       I1         1.45797065     2.684915637    4.552598493    0.4342557839   0.8759965862   6.895136135    0.2847513248   0.1486837938   2.302271959    1.076789002    0.3666807649   
