%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__H0_pdm_soil f_tile_soil    log__tau_tile  neg_kge        
1        I1         1.690483718    2.013724513    4.340212492    0.6465402684   0.871363053    1.010521473    1.591318896    0.3185395979   0.8222803618   1.475132478    
2        I1         1.415755904    1.442057733    4.153250314    0.3438077843   0.714725534    8.334224322    3.28839053     0.3301448915   0.07279789321  1.507139253    
3        I1         0.9657950803   1.346035666    2.615440332    0.06244660579  0.2602711335   0.803349096    1.097642455    0.6861985368   1.087097468    1.706873712    
4        I1         1.80468192     2.653075503    3.516151248    0.5006140939   0.7991067335   8.935380853    1.599352301    0.06872718229  1.02783512     1.190080605    
5        I1         1.815934321    2.148702014    3.164319841    0.7156196559   0.3787398946   3.991173488    2.374188924    0.08918881422  0.6245347312   1.176649316    
6        I1         1.583172998    1.623563135    4.207658737    0.04404286758  0.2239289244   5.162715657    3.440100491    0.4867315553   1.017066028    0.6659684499   
7        I1         0.5369019975   1.359935892    2.906036344    0.282446083    0.5788924596   9.199591692    1.741723812    0.4821320496   0.8332434666   1.838809039    
8        I1         0.4552595495   1.840114       2.895061716    0.9795582233   0.9224487796   9.496401716    1.675449878    0.7882614762   0.8292348277   2.439551326    
9        I1         1.962053355    2.470183567    2.657896966    0.5638427568   0.1376139005   2.596206367    2.0700329      0.4903436674   0.5139948552   1.029234654    
10       I1         0.6021373378   2.095049203    3.624777989    0.2729217598   0.8581902132   6.634035164    1.914951077    0.2209878989   0.5499109481   1.710053404    
11       I1         1.931563387    2.422904768    4.028099965    0.8096779854   0.3294683232   6.104156355    3.448515501    0.7066845909   0.0290488263   1.200654732    
12       I1         1.670202853    2.680127378    2.93227432     0.2482968935   0.1952555708   6.763594913    1.576151478    0.4772449404   0.3397771882   1.171798423    
13       I1         0.6729906473   2.512240563    2.528631855    0.05106478175  0.7373991272   7.187073331    2.696259644    0.1719605564   0.4463084077   0.9504842916   
14       I1         1.162721522    2.232347639    3.427281611    0.9378834073   0.9170078746   9.935364316    2.749416291    0.5273663808   1.057645032    1.927354033    
