%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__fdd_threshold snow_insulation_k neg_kge        
1        I1         1.031569625    1.972364014    3.91705676     0.08187029442  0.1117894441   0.9572361427   1.54556948     0.0987405002   0.5608915621   
2        I1         1.738002296    2.153882841    3.606658393    0.7426416074   0.7193760053   3.697353834    0.06789509667  0.01171401952  1.442716457    
3        I1         1.583172998    1.327864414    2.778552717    0.4832078674   0.0890321183   4.331382158    0.1593154956   0.02053679275  1.297124495    
4        I1         1.973053607    1.712391478    3.287586518    0.3240121076   0.04916239375  5.190489881    0.2847513248   0.1495566483   0.8837540079   
5        I1         1.177159204    1.702042258    3.024145158    0.2578996488   0.4326145925   4.286154237    2.62893519     0.1058008918   1.069760714    
6        I1         1.389904313    2.030189091    2.555153062    0.6602045533   0.2052308283   5.08417707     1.918177791    0.04738531147  1.544867572    
7        I1         1.446335508    1.919140271    3.164319841    0.368880236    0.9170078746   0.4714102173   0.3667146442   0.05002195325  1.505220463    
8        I1         0.9481382881   1.975972814    2.895061716    0.7300191398   0.4387943063   9.121403494    2.614111344    0.05334558274  1.866770248    
9        I1         1.459552999    1.899072277    3.742895652    0.3745234011   0.9751072237   0.1747179927   2.746068637    0.08816497846  1.445098695    
10       I1         0.3237088733   2.081967787    3.401677843    0.3637232882   0.4543216541   5.656863288    2.106068414    0.02170608563  2.071215749    
11       I1         1.160758497    1.914040856    3.056453917    0.3820957175   0.03786302582  7.990311883    2.678897962    0.01927393289  1.114522455    
12       I1         1.901462023    1.887784017    3.809025626    0.2137834302   0.4023888976   3.831712223    1.504993468    0.07230983945  0.7360611923   
13       I1         1.081726666    1.084743497    3.156802105    0.8439753187   0.4692989556   5.581352577    2.914337417    0.06383720263  1.924694309    
14       I1         1.64120002     2.241502952    3.938366512    0.5788593947   0.5611679837   1.177112345    1.947517798    0.09780723046  1.165405379    
15       I1         1.359382799    1.149679854    3.681351124    0.2997027545   0.6515158266   4.894030408    1.602576732    0.07574760212  1.573422362    
16       I1         1.775966423    2.623360368    2.872825091    0.5035474146   0.172586491    8.935380853    1.897851405    0.1360803958   1.01383899     
17       I1         0.6363943388   1.374843451    4.244486286    0.4257638904   0.2717204916   3.215896412    2.013580022    0.1170084979   1.786863953    
18       I1         1.712625696    2.262234132    3.563084631    0.8888690782   0.136307493    8.49266892     2.942109655    0.1039694753   1.459394692    
19       I1         0.6996487793   1.469167139    3.847275111    0.941346387    0.3801969768   9.496401716    0.3026195115   0.0493198283   2.276490766    
20       I1         0.5212860984   2.339796042    4.324691621    0.02682032949  0.5056121611   9.435916875    1.797785827    0.06480682841  0.6973230126   
21       I1         1.527668383    1.254938783    2.651214515    0.8644663599   0.5565208168   2.858188311    1.433977594    0.1000505528   1.680222407    
22       I1         1.012847891    1.901955297    3.474362922    0.6558531331   0.7898699603   6.165109595    1.74120242     0.1246984181   1.841951242    
23       I1         1.531535246    1.042055073    3.236266154    0.5837991308   0.3475140804   5.071982654    0.5999280532   0.01993415349  1.516786013    
24       I1         1.404016156    2.29651723     3.647405117    0.5574533339   0.367962828    0.7839750314   2.603075954    0.1214438644   1.124031214    
25       I1         1.771193562    2.382780579    3.014647514    0.9014394052   0.3128979224   8.449250233    0.3434920695   0.08470807871  1.496341401    
26       I1         1.365941496    2.016681234    3.251077035    0.2887668062   0.8329797208   8.13962312     1.068326553    0.002236963628 1.567657427    
27       I1         1.244751552    2.470183567    3.721320857    0.4961993767   0.9466801024   6.903781316    1.768746244    0.05361642155  1.548010213    
28       I1         1.832347989    1.618783662    4.432868669    0.333323562    0.10346091     2.715362389    0.7498366907   0.00740257091  0.541931183    
29       I1         1.420646476    1.840114       3.674383694    0.9485655461   0.8178788364   2.171727156    1.651090912    0.03699373672  1.787518802    
30       I1         1.005887567    1.1350667      2.965447787    0.5167904168   0.1289259313   3.661604156    2.877065513    0.1151165196   1.466748446    
31       I1         1.062583374    2.037781874    3.112754433    0.7000810092   0.3045696348   7.652579117    2.069716827    0.06185146696  1.803738146    
32       I1         0.5369019975   2.056057473    3.087118066    0.128473036    0.2484786123   1.502057478    1.688368233    0.1189514087   1.144202354    
33       I1         0.7482488826   2.432352504    3.941439147    0.3703465277   0.1479898162   6.48335404     1.561350535    0.04166361281  1.774557771    
34       I1         0.551983061    1.005001595    2.925289364    0.4583877322   0.6121861275   3.372111183    2.154961566    0.07457881763  2.051457296    
35       I1         0.6021373378   1.57146601     3.424068791    0.08532162429  0.9546232434   7.331916469    0.8250106569   0.08116993474  1.968497336    
