%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil log__fdd_threshold f_tile_shallow log__tau_tile  neg_kge        
1        I1         1.690483718    2.013724513    0.9117041212   6.530355773    3.197354727    1.229929665    0.7095826756   0.3185395979   0.8222803618   1.605262725    
2        I1         1.415755904    1.442057733    0.8200926539   3.472139862    2.797769219    3.079349576    2.746068637    0.3301448915   0.07279789321  1.789131433    
3        I1         0.9657950803   1.346035666    0.06656576261  0.6298177523   1.638446769    1.177613408    0.1171709464   0.6861985368   1.087097468    1.958197479    
4        I1         1.80468192     2.653075503    0.5079141114   5.056203602    3.013027381    3.231156781    0.7192227618   0.06872718229  1.02783512     1.266427323    
5        I1         1.815934321    2.148702014    0.3355167219   7.228198565    1.940662996    1.982619568    1.649026708    0.08918881422  0.6245347312   1.699634954    
6        I1         1.583172998    1.623563135    0.8467527811   0.4439024378   1.545737052    2.27846355     2.928120589    0.4867315553   1.017066028    2.049447564    
7        I1         0.5369019975   1.359935892    0.2089578086   2.852261451    2.451256275    3.29787669     0.8900685746   0.4821320496   0.8332434666   2.120077841    
8        I1         0.4552595495   1.840114       0.2035802409   9.894516746    3.327675458    3.372828716    0.8105398535   0.7882614762   0.8292348277   2.186359328    
9        I1         1.962053355    2.470183567    0.08736951318  5.694942135    1.325545665    1.630355143    1.28403948     0.4903436674   0.5139948552   2.164788795    
10       I1         0.6021373378   2.095049203    0.5611412147   2.756046349    3.163750544    2.65000888     1.097941292    0.2209878989   0.5499109481   2.155793006    
11       I1         1.931563387    2.422904768    0.758768983    8.178379648    1.814970212    2.5162011      2.938218601    0.7066845909   0.0290488263   1.832284279    
12       I1         1.670202853    2.680127378    0.2218144169   2.507284945    1.472590742    2.682725988    0.6913817737   0.4772449404   0.3397771882   2.04049072     
13       I1         0.6729906473   2.512240563    0.02402960909  0.5148381013   2.855610018    2.789664983    2.035511573    0.1719605564   0.4463084077   1.834145677    
14       I1         1.162721522    2.232347639    0.4643679895   9.473516053    3.313795598    3.483677858    2.099299549    0.5273663808   1.057645032    1.72926508     
15       I1         1.645442561    1.116056146    0.6889745238   0.5442024497   2.086854759    3.291601411    2.231213606    0.5590733195   0.3029424967   1.783825279    
16       I1         1.811396034    2.29651723     0.8113882099   9.402470267    1.529614483    2.569583398    1.632950029    0.2942550761   0.6540802414   2.038594703    
17       I1         0.6401521459   1.146068176    0.3676463919   7.860451058    3.035608735    2.593209632    0.4844247353   0.5310932993   1.14104342     2.022087469    
18       I1         0.9154537974   1.322749343    0.9040988944   8.963357097    3.262617504    2.258630573    2.138940596    0.6516873013   0.2221150528   2.13273673     
19       I1         1.092924469    2.436423644    0.9751080515   7.038546648    2.74838412     3.442796682    1.811241974    0.4799190219   0.7346563518   2.015334403    
20       I1         1.395449208    1.880140909    0.1381446722   7.720914576    2.264316737    2.436281265    0.3575580936   0.7224698667   0.7109932779   1.739989711    
